Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-07-08,33594,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-07,33384,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-06,33190,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-05,32951,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-04,32672,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-03,32324,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-02,32022,AFG,142,34,
,Afghanistan,33.0,65.0,2020-07-01,31836,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-30,31517,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-29,31238,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-28,30967,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-27,30616,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-26,30451,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-25,30175,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-24,29640,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-23,29481,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-22,29157,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-21,28833,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-20,28424,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-19,27878,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-18,27532,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-17,26874,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-16,26310,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-15,25527,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-14,24766,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-13,24102,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-12,23546,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-11,22890,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-10,22142,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-09,21459,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-08,20917,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-07,20342,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-06,19551,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-05,18969,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-04,18054,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-03,17267,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-02,16509,AFG,142,34,
,Afghanistan,33.0,65.0,2020-06-01,15750,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-31,15205,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-30,14525,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-29,13659,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-28,13036,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-27,12456,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-26,11831,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-25,11173,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-24,10582,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-23,9998,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-22,9216,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-21,8676,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-20,8145,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-19,7653,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-18,7072,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-17,6664,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-16,6402,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-15,6053,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-14,5639,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-13,5226,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-12,4963,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-11,4687,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-10,4402,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-09,4033,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-08,3778,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-07,3563,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-06,3392,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-05,3224,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-04,2894,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-03,2704,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-02,2469,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-01,2335,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-30,2171,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-29,1939,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-28,1828,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-27,1703,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-26,1531,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-25,1463,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-24,1351,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-23,1279,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-22,1176,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-21,1092,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-20,1026,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-19,996,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-18,933,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-17,906,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-16,840,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-15,784,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-14,714,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-13,665,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-12,607,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-11,555,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-10,521,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-09,484,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-08,444,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-07,423,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-06,367,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-05,349,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-04,299,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-03,281,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-02,273,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-01,237,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-31,174,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-30,170,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-29,120,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-28,110,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-27,110,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-26,94,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-25,84,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-24,74,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-23,40,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-22,40,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-21,24,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-20,24,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-19,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-18,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-17,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-16,21,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-15,16,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-14,11,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-13,7,AFG,142,34,
