Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-04-02,6,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-01,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-31,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-30,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-29,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-28,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-27,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-26,4,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-25,2,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-24,1,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-23,1,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-22,1,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-21,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-20,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-19,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-18,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-17,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-16,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-15,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-14,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-13,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-12,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-11,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-10,0,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-09,0,AFG,142,34,
