id	datestamp	timestamp	username	tweet	replies_count	retweets_count	likes_count	url	country
1244858713023729665	2020-03-31	02:27:00	pdchina	China’s national college entrance exam, known as gaokao in Chinese, will be postponed by a month to July 7 and 8 due to the novel coronavirus epidemic, the Ministry of Education said Tuesday. pic.twitter.com/MZTMQupvgW	6	9	23	https://twitter.com/PDChina/status/1244858713023729665	China
1244857839790600192	2020-03-31	02:23:32	pdchina	#UPDATE: 18 firefighters and a local forest farm worker died while battling a forest fire in SW China's Sichuan Province. As of midnight on Monday, the burned area had exceeded 1,000 hectares and around 80 hectares of forest were destroyed. pic.twitter.com/FhzMEr2MKC	1	6	22	https://twitter.com/PDChina/status/1244857839790600192	China
1244851918221922304	2020-03-31	02:00:00	pdchina	Flowers embrace the sunshine and whisper in the gentle breeze in Hangzhou, east China’s Zhejiang province, to send their best wishes to people pic.twitter.com/DDeelEIROf	7	22	106	https://twitter.com/PDChina/status/1244851918221922304	China
1244829269164830720	2020-03-31	00:30:00	pdchina	China will bolster policy support to help migrant workers staying in their hometowns obtain employment locally or in nearby areas, in an effort to boost the virus-hit rural job market, the country's agriculture ministry said Monday. pic.twitter.com/Ml0Vtg5MOv	4	8	54	https://twitter.com/PDChina/status/1244829269164830720	China
1244821722307547137	2020-03-31	00:00:00	pdchina	The PMI for China’s manufacturing sector came in at 52 in Mar, up from 35.7 in Feb; and the PMI for the non-manufacturing sector came in at 52.3 in Mar, up from 29.6 in Feb, the National Bureau of Statistics said Tue. A reading above 50 indicates expansion. pic.twitter.com/F8TwLCn6Hx	7	11	44	https://twitter.com/PDChina/status/1244821722307547137	China
1244814604191944710	2020-03-30	23:31:43	pdchina	18 firefighters confirmed dead after a forest fire broke out in Xichang City, SW #China's Sichuan Province. pic.twitter.com/8VVqLYoMMJ	99	99	371	https://twitter.com/PDChina/status/1244814604191944710	China
1244809443943931904	2020-03-30	23:11:13	pdchina	The path of green development is correct and should be followed, President Xi Jinping said Monday. He made the remarks while visiting Yucun Village in Anji County, E China's Zhejiang Province. pic.twitter.com/byLtFrd8zw	16	20	108	https://twitter.com/PDChina/status/1244809443943931904	China
1244806621836070922	2020-03-30	23:00:00	pdchina	Gaoyiling, a mountain range featuring Danxia landform in Chenzhou, Central China's Hunan province, is famous for its natural beauty. #AmazingChina pic.twitter.com/siOaSCri8K	7	25	161	https://twitter.com/PDChina/status/1244806621836070922	China
1244799070922838017	2020-03-30	22:30:00	pdchina	The leading group of China's #COVID19 response, led by Premier Li Keqiang, on Monday stressed the control of cases of infections that show no symptoms.  https://bit.ly/39tEXhc  pic.twitter.com/yxcIqhIKzo	8	21	45	https://twitter.com/PDChina/status/1244799070922838017	China
1244791772082888704	2020-03-30	22:01:00	pdchina	China sent a team of medical experts to #Venezuela to help the country fight the #COVID19 pandemic, the Chinese Foreign Ministry announced on Monday. The team arrived on Monday local time. pic.twitter.com/0IIkFxeNJ6	14	45	139	https://twitter.com/PDChina/status/1244791772082888704	China
1244783254353227776	2020-03-30	21:27:09	pdchina	"The Chinese mainland on Monday reported 48 more #COVID19 cases, all of which were imported from abroad. Hubei reported zero new infections.

Latest figures:
- 81,518 total confirmed cases
- 3,305 total deaths
- 76,052 discharged from hospitals pic.twitter.com/cXGRQKVCRv"	60	41	181	https://twitter.com/PDChina/status/1244783254353227776	China
1244780696511471616	2020-03-30	21:16:59	pdchina	The United States has reported more than 160,000 #COVID19 cases with 2,953 deaths, according to the latest tally from Johns Hopkins University. pic.twitter.com/P92F3w7e8Y	13	25	61	https://twitter.com/PDChina/status/1244780696511471616	China
1244746222193213451	2020-03-30	19:00:00	pdchina	A pancake so stunning that you don't want to do any damage to it. pic.twitter.com/fv0kmbvk7P	10	66	349	https://twitter.com/PDChina/status/1244746222193213451	China
1244733639079931904	2020-03-30	18:10:00	pdchina	German Chancellor Angela Merkel, 65, has tested negative for #coronavirus for the 3rd time after meeting with a doctor who later got infected with #covid19, her spokesperson said on Monday pic.twitter.com/1eoIAMqBjZ	15	43	180	https://twitter.com/PDChina/status/1244733639079931904	China
1244726089366138880	2020-03-30	17:40:00	pdchina	#Italy on Mon. announced to extend the #lockdown to at least April 12 to prevent a further spread of #coronavirus, said its Health Minister. The country now has 101,739 #covid19 cases by far, world's 2nd biggest number following U.S. pic.twitter.com/0RKTctRE5G	9	23	57	https://twitter.com/PDChina/status/1244726089366138880	China
1244718539606548481	2020-03-30	17:10:00	pdchina	What an extraordinary scenery! Cliff-side road features a wonderful view with different shades of green in C China's Hubei! pic.twitter.com/3gkUAESihX	69	448	1485	https://twitter.com/PDChina/status/1244718539606548481	China
1244710989787828224	2020-03-30	16:40:00	pdchina	#Russia orders all evacuation charter flights must land at Sheremetyevo Airport and the number of returnees from abroad can not exceed 500 daily, Sputnik reports pic.twitter.com/0I985ZHFIJ	1	14	38	https://twitter.com/PDChina/status/1244710989787828224	China
1244703440141291520	2020-03-30	16:10:00	pdchina	#BREAKING: The confirmed number of #Covid19 cases in the United States has passed 150,000 with 2,828 deaths as of 2 pm ET: Johns Hopkins University pic.twitter.com/tc0hYaU9ZF	25	101	168	https://twitter.com/PDChina/status/1244703440141291520	China
1244702433386717188	2020-03-30	16:06:00	pdchina	#France reports 418 new deaths from #coronavirus on Monday, taking death total to 3,024, while the cumulative number of #covid19 cases has risen to 44,550, said French health agency director pic.twitter.com/fN6bW5uScg	10	25	44	https://twitter.com/PDChina/status/1244702433386717188	China
1244692115663142912	2020-03-30	15:25:00	pdchina	Quanzhou-Xiamen Bridge jointed its two sections on March 26, marking the completion of the cross-sea bridge connecting the three most important cities-- Quanzhou, Xiamen, Fuzhou -- in SE China's Fujian. #Infrastructure pic.twitter.com/gIAsGnEuJx	14	50	170	https://twitter.com/PDChina/status/1244692115663142912	China
1244691095579242496	2020-03-30	15:20:57	pdchina	After systematic research into the main lakes in Hoh Xil (aka. Kekexili), Chinese scientists for the 1st time ever obtained data on underwater terrain and water quality profile in the region. pic.twitter.com/8KxqNNqpQr	9	8	64	https://twitter.com/PDChina/status/1244691095579242496	China
1244683307490500608	2020-03-30	14:50:00	pdchina	Chinese President #XiJinping said #China will roll out more targeted measures to help small and medium-sized enterprises hit by #Covid_19 outbreak restart production and further develop pic.twitter.com/5GLwGnJ2Cw	74	79	448	https://twitter.com/PDChina/status/1244683307490500608	China
1244677617116229634	2020-03-30	14:27:23	pdchina	#BREAKING: U.S State of #NewYork has reported a total of 66,497 confirmed #covid19 cases with 1,218 deaths, said Gov. Andrew Cuomo, adding over 9,500 are hospitalized, including 2,352 in ICU pic.twitter.com/OvTLdv7y8c	19	34	81	https://twitter.com/PDChina/status/1244677617116229634	China
1244670728252735489	2020-03-30	14:00:01	pdchina	"#China and #Cambodia on Mon. 
held an anti-terrorist military exercise and concluded their annual #GoldenDragon joint drill in Cambodian province of Kampot pic.twitter.com/bOEflLLryP"	11	15	81	https://twitter.com/PDChina/status/1244670728252735489	China
1244663904485232640	2020-03-30	13:32:54	pdchina	The #COVID_19 #pandemic has claimed 11,591 lives in #Italy until Monday with the cumulative total infections reaching 101,739, according to the data released by the Civil Protection Department pic.twitter.com/yKtCpuK46j	16	24	78	https://twitter.com/PDChina/status/1244663904485232640	China
1244655121826447363	2020-03-30	12:58:00	pdchina	#BREAKING: Russian President Vladimir Putin and his U.S. counterpart Donald Trump discussed closer collaboration in the fight against novel #coronavirus during a phone talk: the Kremlin pic.twitter.com/pHpqi1kUHB	14	62	172	https://twitter.com/PDChina/status/1244655121826447363	China
1244653108610793473	2020-03-30	12:50:00	pdchina	Hospital ship USNS #Comfort has arrived in #NewYorkCity on Monday to aid the fight against #coronavirus, bringing 1,000 much-needed hospital beds & 1,200 personnel, according to New York State Gov. Cuomo pic.twitter.com/XUxg27mCDC	3	23	90	https://twitter.com/PDChina/status/1244653108610793473	China
1244646817091944448	2020-03-30	12:25:00	pdchina	Train derailed and rolled over in C China's Hunan, killing one passenger. Over 1000 workers have come to rescue, aiming to restore derailed train cars and 380-meter damaged railway. All the injured are being treated in a nearby hospital. pic.twitter.com/syvzsH5tAZ	12	24	93	https://twitter.com/PDChina/status/1244646817091944448	China
1244639267286134787	2020-03-30	11:55:00	pdchina	#NewYorkCity residents who break #SocialDistancing rules and fail to disperse when warned by police will be subject to fines up to $500, said Mayor Bill de Blasio as the city battles fast spread of #coronavirus pic.twitter.com/bxARbDH6zk	8	10	72	https://twitter.com/PDChina/status/1244639267286134787	China
1244632976471871489	2020-03-30	11:30:00	pdchina	Don't take risk! A woman jumped out of bus to avoid manditory quarantine after returning from abroad with a fever in E China's Qingdao. pic.twitter.com/V20UzyM8Uq	92	282	679	https://twitter.com/PDChina/status/1244632976471871489	China
1244624167720214529	2020-03-30	10:55:00	pdchina	China will ban incivilities including eating, begging and peddling in #subway from April 1 with exceptions to whose with special needs, according to a new regulation pic.twitter.com/bydFa4AT0Z	18	41	174	https://twitter.com/PDChina/status/1244624167720214529	China
1244616617868308482	2020-03-30	10:25:00	pdchina	Israeli Prime Minister Benjamin Netanyahu, 70, will go into #quarantine as one of his advisors was diagnosed with #coronavirus, the prime minister's office said on Monday pic.twitter.com/am8pSgH7yq	9	23	78	https://twitter.com/PDChina/status/1244616617868308482	China
1244609823217528833	2020-03-30	09:58:00	pdchina	Chinese President #XiJinping on Monday inspected Anji County in E China's #Zhejiang Province. pic.twitter.com/aaFwUodQsP	12	25	127	https://twitter.com/PDChina/status/1244609823217528833	China
1244601518533349377	2020-03-30	09:25:00	pdchina	#Spain health emergency chief Fernando Simon, who leads the country’s response to #coronavirus epidemic and maintains regular contact with Prime Minister Pedro Sanchez, has tested positive for #Covid19, the ministry confirmed on Monday pic.twitter.com/Q5EqfHliPc	9	29	76	https://twitter.com/PDChina/status/1244601518533349377	China
1244595230785011713	2020-03-30	09:00:01	pdchina	Located at 3,000 meters above sea level on the Qinghai-Tibet Plateau, NW China's Qinghai Province is a paradise for stargazing and photography. pic.twitter.com/DDXLcZZZkK	29	68	414	https://twitter.com/PDChina/status/1244595230785011713	China
